
==================== Fold 1/5 ====================


=============== Starting training fold 1 (Corrected Version) ===============
🔧 Image segmentation: Correct 2-row 5-column layout, each expert processes 128x128 region
🤖 Optimizer: AdamW (amsgrad=True), aggressive learning rate: 0.0003
📊 Loss function: Combined loss (Focal+LabelSmooth, gamma=1.5)
📈 Learning rate schedule: Super scheduler (Multi-Warmup + Cosine + Restart)
🎯 Validation metrics: AUC + ACC + Precision + Recall + F1
🏗️  Model architecture: Ultimate multi-expert network + attention + residual
🎨 Visualization analysis: Correct 2-row 5-column heatmap generation + feature importance analysis
Fold 1 | Epoch   1 | Loss: 0.3298 | AUC: 0.6462 | Acc: 0.6719 | Prec: 0.7019 | Rec: 0.6719 | F1: 0.6841 | LR: 0.000048 | Time: 7.0s -> 🎯 NEW RECORD!
Fold 1 | Epoch  26 | Loss: 0.1497 | AUC: 0.7288 | Acc: 0.7240 | Prec: 0.7423 | Rec: 0.7240 | F1: 0.7316 | LR: 0.000208 | Time: 6.7s
Fold 1 | Epoch  27 | Loss: 0.1106 | AUC: 0.7616 | Acc: 0.7135 | Prec: 0.7456 | Rec: 0.7135 | F1: 0.7254 | LR: 0.000197 | Time: 6.7s
Fold 1 | Epoch  28 | Loss: 0.1206 | AUC: 0.7545 | Acc: 0.7240 | Prec: 0.7423 | Rec: 0.7240 | F1: 0.7316 | LR: 0.000185 | Time: 7.0s
Fold 1 | Epoch  29 | Loss: 0.1014 | AUC: 0.7391 | Acc: 0.7292 | Prec: 0.7452 | Rec: 0.7292 | F1: 0.7359 | LR: 0.000174 | Time: 6.5s
Fold 1 | Epoch  30 | Loss: 0.1093 | AUC: 0.7607 | Acc: 0.7396 | Prec: 0.7552 | Rec: 0.7396 | F1: 0.7461 | LR: 0.000162 | Time: 6.7s
Fold 1 | Epoch  31 | Loss: 0.1011 | AUC: 0.7532 | Acc: 0.7344 | Prec: 0.7441 | Rec: 0.7344 | F1: 0.7388 | LR: 0.000150 | Time: 6.8s
Fold 1 | Epoch  32 | Loss: 0.1181 | AUC: 0.7475 | Acc: 0.7344 | Prec: 0.7441 | Rec: 0.7344 | F1: 0.7388 | LR: 0.000139 | Time: 6.5s
Fold 1 | Epoch  33 | Loss: 0.1083 | AUC: 0.7467 | Acc: 0.7500 | Prec: 0.7574 | Rec: 0.7500 | F1: 0.7534 | LR: 0.000127 | Time: 7.3s
Fold 1 | Epoch  34 | Loss: 0.0901 | AUC: 0.7494 | Acc: 0.7396 | Prec: 0.7472 | Rec: 0.7396 | F1: 0.7431 | LR: 0.000115 | Time: 7.2s
Fold 1 | Epoch  35 | Loss: 0.1018 | AUC: 0.7481 | Acc: 0.7500 | Prec: 0.7536 | Rec: 0.7500 | F1: 0.7517 | LR: 0.000104 | Time: 6.6s
Fold 1 | Epoch  36 | Loss: 0.0867 | AUC: 0.7409 | Acc: 0.7396 | Prec: 0.7472 | Rec: 0.7396 | F1: 0.7431 | LR: 0.000093 | Time: 6.7s
Fold 1 | Epoch  37 | Loss: 0.0740 | AUC: 0.7536 | Acc: 0.7448 | Prec: 0.7542 | Rec: 0.7448 | F1: 0.7490 | LR: 0.000082 | Time: 6.7s
Fold 1 | Epoch  38 | Loss: 0.0857 | AUC: 0.7498 | Acc: 0.7500 | Prec: 0.7536 | Rec: 0.7500 | F1: 0.7517 | LR: 0.000072 | Time: 6.2s
Fold 1 | Epoch  39 | Loss: 0.1036 | AUC: 0.7554 | Acc: 0.7552 | Prec: 0.7606 | Rec: 0.7552 | F1: 0.7577 | LR: 0.000062 | Time: 6.3s
Fold 1 | Epoch  40 | Loss: 0.0765 | AUC: 0.7533 | Acc: 0.7500 | Prec: 0.7574 | Rec: 0.7500 | F1: 0.7534 | LR: 0.000053 | Time: 6.3s
Fold 1 | Epoch  41 | Loss: 0.0844 | AUC: 0.7473 | Acc: 0.7396 | Prec: 0.7472 | Rec: 0.7396 | F1: 0.7431 | LR: 0.000044 | Time: 7.0s
Fold 1 | Epoch  42 | Loss: 0.0765 | AUC: 0.7372 | Acc: 0.7396 | Prec: 0.7472 | Rec: 0.7396 | F1: 0.7431 | LR: 0.000036 | Time: 6.4s
Fold 1 | Epoch  43 | Loss: 0.0836 | AUC: 0.7371 | Acc: 0.7344 | Prec: 0.7441 | Rec: 0.7344 | F1: 0.7388 | LR: 0.000029 | Time: 6.5s
Fold 1 | Epoch  44 | Loss: 0.0734 | AUC: 0.7387 | Acc: 0.7344 | Prec: 0.7441 | Rec: 0.7344 | F1: 0.7388 | LR: 0.000023 | Time: 6.6s
Fold 1 | Epoch  45 | Loss: 0.0839 | AUC: 0.7346 | Acc: 0.7500 | Prec: 0.7536 | Rec: 0.7500 | F1: 0.7517 | LR: 0.000017 | Time: 6.6s
Fold 1 | Epoch  46 | Loss: 0.0744 | AUC: 0.7398 | Acc: 0.7448 | Prec: 0.7504 | Rec: 0.7448 | F1: 0.7474 | LR: 0.000012 | Time: 6.7s
Fold 1 | Epoch  47 | Loss: 0.0700 | AUC: 0.7394 | Acc: 0.7344 | Prec: 0.7441 | Rec: 0.7344 | F1: 0.7388 | LR: 0.000008 | Time: 6.7s
Fold 1 | Epoch  48 | Loss: 0.0761 | AUC: 0.7395 | Acc: 0.7448 | Prec: 0.7504 | Rec: 0.7448 | F1: 0.7474 | LR: 0.000005 | Time: 6.8s
Fold 1 | Epoch  49 | Loss: 0.0837 | AUC: 0.7363 | Acc: 0.7448 | Prec: 0.7504 | Rec: 0.7448 | F1: 0.7474 | LR: 0.000002 | Time: 6.6s
Fold 1 | Epoch  50 | Loss: 0.0723 | AUC: 0.7428 | Acc: 0.7396 | Prec: 0.7472 | Rec: 0.7396 | F1: 0.7431 | LR: 0.000001 | Time: 6.4s
Fold 1 | Epoch  51 | Loss: 0.0910 | AUC: 0.7128 | Acc: 0.7604 | Prec: 0.7537 | Rec: 0.7604 | F1: 0.7567 | LR: 0.000300 | Time: 6.6s
Fold 1 | Epoch  52 | Loss: 0.1054 | AUC: 0.7187 | Acc: 0.7240 | Prec: 0.7381 | Rec: 0.7240 | F1: 0.7301 | LR: 0.000300 | Time: 6.6s
Fold 1 | Epoch  53 | Loss: 0.0965 | AUC: 0.7395 | Acc: 0.7552 | Prec: 0.7643 | Rec: 0.7552 | F1: 0.7592 | LR: 0.000298 | Time: 6.2s
Fold 1 | Epoch  54 | Loss: 0.1094 | AUC: 0.7373 | Acc: 0.7188 | Prec: 0.7352 | Rec: 0.7188 | F1: 0.7258 | LR: 0.000296 | Time: 6.5s
Fold 1 | Epoch  55 | Loss: 0.0968 | AUC: 0.7501 | Acc: 0.7500 | Prec: 0.7536 | Rec: 0.7500 | F1: 0.7517 | LR: 0.000293 | Time: 6.6s
Fold 1 | Epoch  56 | Loss: 0.1068 | AUC: 0.7548 | Acc: 0.7708 | Prec: 0.7851 | Rec: 0.7708 | F1: 0.7766 | LR: 0.000289 | Time: 6.1s
Fold 1 | Epoch  57 | Loss: 0.0759 | AUC: 0.7683 | Acc: 0.7760 | Prec: 0.7882 | Rec: 0.7760 | F1: 0.7810 | LR: 0.000284 | Time: 6.7s -> 🎯 NEW RECORD!
Fold 1 | Epoch  58 | Loss: 0.0884 | AUC: 0.7588 | Acc: 0.7708 | Prec: 0.7708 | Rec: 0.7708 | F1: 0.7708 | LR: 0.000278 | Time: 7.0s
Fold 1 | Epoch  59 | Loss: 0.0801 | AUC: 0.7511 | Acc: 0.7604 | Prec: 0.7713 | Rec: 0.7604 | F1: 0.7651 | LR: 0.000271 | Time: 6.7s
Fold 1 | Epoch  60 | Loss: 0.0723 | AUC: 0.7550 | Acc: 0.7760 | Prec: 0.7810 | Rec: 0.7760 | F1: 0.7783 | LR: 0.000264 | Time: 6.4s
Fold 1 | Epoch  61 | Loss: 0.0743 | AUC: 0.7651 | Acc: 0.7604 | Prec: 0.7751 | Rec: 0.7604 | F1: 0.7664 | LR: 0.000256 | Time: 6.4s
Fold 1 | Epoch  62 | Loss: 0.0912 | AUC: 0.7786 | Acc: 0.7865 | Prec: 0.7820 | Rec: 0.7865 | F1: 0.7840 | LR: 0.000248 | Time: 6.9s -> 🎯 NEW RECORD!
Fold 1 | Epoch  63 | Loss: 0.0598 | AUC: 0.7812 | Acc: 0.7865 | Prec: 0.7912 | Rec: 0.7865 | F1: 0.7886 | LR: 0.000238 | Time: 6.7s -> 🎯 NEW RECORD!
Fold 1 | Epoch  64 | Loss: 0.0821 | AUC: 0.7437 | Acc: 0.7552 | Prec: 0.7535 | Rec: 0.7552 | F1: 0.7543 | LR: 0.000228 | Time: 6.6s
Fold 1 | Epoch  65 | Loss: 0.0661 | AUC: 0.7390 | Acc: 0.7448 | Prec: 0.7542 | Rec: 0.7448 | F1: 0.7490 | LR: 0.000218 | Time: 6.7s
Fold 1 | Epoch  66 | Loss: 0.0719 | AUC: 0.7503 | Acc: 0.7656 | Prec: 0.7673 | Rec: 0.7656 | F1: 0.7665 | LR: 0.000208 | Time: 6.4s
Fold 1 | Epoch  67 | Loss: 0.0597 | AUC: 0.7789 | Acc: 0.7708 | Prec: 0.7708 | Rec: 0.7708 | F1: 0.7708 | LR: 0.000197 | Time: 7.0s
Fold 1 | Epoch  68 | Loss: 0.0594 | AUC: 0.7778 | Acc: 0.7656 | Prec: 0.7782 | Rec: 0.7656 | F1: 0.7708 | LR: 0.000185 | Time: 6.9s
Fold 1 | Epoch  69 | Loss: 0.0651 | AUC: 0.7758 | Acc: 0.7656 | Prec: 0.7708 | Rec: 0.7656 | F1: 0.7680 | LR: 0.000174 | Time: 6.5s
Fold 1 | Epoch  70 | Loss: 0.0415 | AUC: 0.7783 | Acc: 0.7552 | Prec: 0.7643 | Rec: 0.7552 | F1: 0.7592 | LR: 0.000162 | Time: 6.5s
Fold 1 | Epoch  71 | Loss: 0.0561 | AUC: 0.7752 | Acc: 0.7656 | Prec: 0.7708 | Rec: 0.7656 | F1: 0.7680 | LR: 0.000150 | Time: 6.6s
Fold 1 | Epoch  72 | Loss: 0.0625 | AUC: 0.7737 | Acc: 0.7656 | Prec: 0.7640 | Rec: 0.7656 | F1: 0.7648 | LR: 0.000139 | Time: 6.6s
Fold 1 | Epoch  73 | Loss: 0.0493 | AUC: 0.7693 | Acc: 0.7708 | Prec: 0.7676 | Rec: 0.7708 | F1: 0.7691 | LR: 0.000127 | Time: 6.5s
Fold 1 | Epoch  74 | Loss: 0.0470 | AUC: 0.7651 | Acc: 0.7604 | Prec: 0.7570 | Rec: 0.7604 | F1: 0.7586 | LR: 0.000115 | Time: 6.9s
Fold 1 | Epoch  75 | Loss: 0.0469 | AUC: 0.7696 | Acc: 0.7760 | Prec: 0.7810 | Rec: 0.7760 | F1: 0.7783 | LR: 0.000104 | Time: 6.6s
Fold 1 | Epoch  76 | Loss: 0.0508 | AUC: 0.7711 | Acc: 0.7708 | Prec: 0.7708 | Rec: 0.7708 | F1: 0.7708 | LR: 0.000093 | Time: 6.5s
Fold 1 | Epoch  77 | Loss: 0.0519 | AUC: 0.7707 | Acc: 0.7656 | Prec: 0.7640 | Rec: 0.7656 | F1: 0.7648 | LR: 0.000082 | Time: 6.9s
Fold 1 | Epoch  78 | Loss: 0.0313 | AUC: 0.7655 | Acc: 0.7604 | Prec: 0.7570 | Rec: 0.7604 | F1: 0.7586 | LR: 0.000072 | Time: 6.6s
Fold 1 | Epoch  79 | Loss: 0.0368 | AUC: 0.7663 | Acc: 0.7656 | Prec: 0.7673 | Rec: 0.7656 | F1: 0.7665 | LR: 0.000062 | Time: 6.5s
Fold 1 | Epoch  80 | Loss: 0.0389 | AUC: 0.7702 | Acc: 0.7708 | Prec: 0.7742 | Rec: 0.7708 | F1: 0.7724 | LR: 0.000053 | Time: 6.3s
Fold 1 | Epoch  81 | Loss: 0.0308 | AUC: 0.7759 | Acc: 0.7812 | Prec: 0.7782 | Rec: 0.7812 | F1: 0.7796 | LR: 0.000044 | Time: 6.4s
Fold 1 | Epoch  82 | Loss: 0.0323 | AUC: 0.7770 | Acc: 0.7708 | Prec: 0.7777 | Rec: 0.7708 | F1: 0.7739 | LR: 0.000036 | Time: 6.8s
Fold 1 | Epoch  83 | Loss: 0.0371 | AUC: 0.7784 | Acc: 0.7656 | Prec: 0.7708 | Rec: 0.7656 | F1: 0.7680 | LR: 0.000029 | Time: 6.4s
Fold 1 | Epoch  84 | Loss: 0.0353 | AUC: 0.7798 | Acc: 0.7760 | Prec: 0.7810 | Rec: 0.7760 | F1: 0.7783 | LR: 0.000023 | Time: 6.3s
Fold 1 | Epoch  85 | Loss: 0.0429 | AUC: 0.7777 | Acc: 0.7708 | Prec: 0.7742 | Rec: 0.7708 | F1: 0.7724 | LR: 0.000017 | Time: 6.7s
Fold 1 | Epoch  86 | Loss: 0.0346 | AUC: 0.7775 | Acc: 0.7760 | Prec: 0.7744 | Rec: 0.7760 | F1: 0.7752 | LR: 0.000012 | Time: 6.6s
Fold 1 | Epoch  87 | Loss: 0.0460 | AUC: 0.7705 | Acc: 0.7760 | Prec: 0.7714 | Rec: 0.7760 | F1: 0.7735 | LR: 0.000008 | Time: 6.6s
Fold 1 | Epoch  88 | Loss: 0.0308 | AUC: 0.7730 | Acc: 0.7865 | Prec: 0.7820 | Rec: 0.7865 | F1: 0.7840 | LR: 0.000005 | Time: 6.4s
Fold 1 | Epoch  89 | Loss: 0.0528 | AUC: 0.7755 | Acc: 0.7760 | Prec: 0.7777 | Rec: 0.7760 | F1: 0.7768 | LR: 0.000002 | Time: 6.6s
Fold 1 | Epoch  90 | Loss: 0.0439 | AUC: 0.7723 | Acc: 0.7760 | Prec: 0.7777 | Rec: 0.7760 | F1: 0.7768 | LR: 0.000001 | Time: 6.9s
Fold 1 | Epoch  91 | Loss: 0.0386 | AUC: 0.7638 | Acc: 0.7812 | Prec: 0.7812 | Rec: 0.7812 | F1: 0.7812 | LR: 0.000300 | Time: 6.7s
Fold 1 | Epoch  92 | Loss: 0.0450 | AUC: 0.7952 | Acc: 0.7865 | Prec: 0.7880 | Rec: 0.7865 | F1: 0.7872 | LR: 0.000300 | Time: 6.6s -> 🎯 NEW RECORD!
Fold 1 | Epoch  93 | Loss: 0.0492 | AUC: 0.7577 | Acc: 0.8021 | Prec: 0.7993 | Rec: 0.8021 | F1: 0.8006 | LR: 0.000298 | Time: 6.5s
Fold 1 | Epoch  94 | Loss: 0.0438 | AUC: 0.7709 | Acc: 0.7708 | Prec: 0.7777 | Rec: 0.7708 | F1: 0.7739 | LR: 0.000296 | Time: 6.3s
Fold 1 | Epoch  95 | Loss: 0.0748 | AUC: 0.7861 | Acc: 0.8021 | Prec: 0.7993 | Rec: 0.8021 | F1: 0.8006 | LR: 0.000293 | Time: 6.3s
Fold 1 | Epoch  96 | Loss: 0.0423 | AUC: 0.7667 | Acc: 0.7760 | Prec: 0.7656 | Rec: 0.7760 | F1: 0.7697 | LR: 0.000289 | Time: 7.0s
Fold 1 | Epoch  97 | Loss: 0.0595 | AUC: 0.7375 | Acc: 0.7344 | Prec: 0.7564 | Rec: 0.7344 | F1: 0.7431 | LR: 0.000284 | Time: 6.4s
Fold 1 | Epoch  98 | Loss: 0.0634 | AUC: 0.7503 | Acc: 0.7708 | Prec: 0.7742 | Rec: 0.7708 | F1: 0.7724 | LR: 0.000278 | Time: 6.6s
Fold 1 | Epoch  99 | Loss: 0.0686 | AUC: 0.7483 | Acc: 0.7656 | Prec: 0.7744 | Rec: 0.7656 | F1: 0.7695 | LR: 0.000271 | Time: 6.7s
Fold 1 | Epoch 100 | Loss: 0.0623 | AUC: 0.7420 | Acc: 0.7708 | Prec: 0.7676 | Rec: 0.7708 | F1: 0.7691 | LR: 0.000264 | Time: 6.6s
Fold 1 | Epoch 101 | Loss: 0.0465 | AUC: 0.7510 | Acc: 0.7708 | Prec: 0.7676 | Rec: 0.7708 | F1: 0.7691 | LR: 0.000256 | Time: 6.4s
Fold 1 | Epoch 102 | Loss: 0.0313 | AUC: 0.7409 | Acc: 0.7656 | Prec: 0.7673 | Rec: 0.7656 | F1: 0.7665 | LR: 0.000248 | Time: 6.6s
Fold 1 | Epoch 103 | Loss: 0.0351 | AUC: 0.7463 | Acc: 0.7760 | Prec: 0.7656 | Rec: 0.7760 | F1: 0.7697 | LR: 0.000238 | Time: 6.5s
Fold 1 | Epoch 104 | Loss: 0.0483 | AUC: 0.7514 | Acc: 0.7552 | Prec: 0.7570 | Rec: 0.7552 | F1: 0.7561 | LR: 0.000228 | Time: 6.6s
Fold 1 | Epoch 105 | Loss: 0.0386 | AUC: 0.7363 | Acc: 0.7448 | Prec: 0.7430 | Rec: 0.7448 | F1: 0.7439 | LR: 0.000218 | Time: 6.3s
Fold 1 | Epoch 106 | Loss: 0.0513 | AUC: 0.7561 | Acc: 0.8021 | Prec: 0.7968 | Rec: 0.8021 | F1: 0.7990 | LR: 0.000208 | Time: 6.6s
Fold 1 | Epoch 107 | Loss: 0.0385 | AUC: 0.7545 | Acc: 0.7865 | Prec: 0.7849 | Rec: 0.7865 | F1: 0.7857 | LR: 0.000197 | Time: 6.4s
Fold 1 | Epoch 108 | Loss: 0.0431 | AUC: 0.7687 | Acc: 0.7917 | Prec: 0.7888 | Rec: 0.7917 | F1: 0.7901 | LR: 0.000185 | Time: 6.8s
Fold 1 | Epoch 109 | Loss: 0.0471 | AUC: 0.7730 | Acc: 0.7917 | Prec: 0.7835 | Rec: 0.7917 | F1: 0.7867 | LR: 0.000174 | Time: 6.7s
Fold 1 | Epoch 110 | Loss: 0.0279 | AUC: 0.7762 | Acc: 0.7969 | Prec: 0.7954 | Rec: 0.7969 | F1: 0.7961 | LR: 0.000162 | Time: 6.7s
Fold 1 | Epoch 111 | Loss: 0.0337 | AUC: 0.7685 | Acc: 0.7760 | Prec: 0.7919 | Rec: 0.7760 | F1: 0.7822 | LR: 0.000150 | Time: 6.1s
Fold 1 | Epoch 112 | Loss: 0.0352 | AUC: 0.7664 | Acc: 0.7865 | Prec: 0.7849 | Rec: 0.7865 | F1: 0.7857 | LR: 0.000139 | Time: 6.3s
Fold 1 | Epoch 113 | Loss: 0.0296 | AUC: 0.7853 | Acc: 0.8021 | Prec: 0.7993 | Rec: 0.8021 | F1: 0.8006 | LR: 0.000127 | Time: 6.5s
Fold 1 | Epoch 114 | Loss: 0.0313 | AUC: 0.7855 | Acc: 0.7917 | Prec: 0.7980 | Rec: 0.7917 | F1: 0.7945 | LR: 0.000115 | Time: 6.6s
Fold 1 | Epoch 115 | Loss: 0.0441 | AUC: 0.7815 | Acc: 0.7917 | Prec: 0.7980 | Rec: 0.7917 | F1: 0.7945 | LR: 0.000104 | Time: 7.0s
Fold 1 | Epoch 116 | Loss: 0.0245 | AUC: 0.7762 | Acc: 0.7917 | Prec: 0.7888 | Rec: 0.7917 | F1: 0.7901 | LR: 0.000093 | Time: 6.6s
Fold 1 | Epoch 117 | Loss: 0.0286 | AUC: 0.7755 | Acc: 0.8021 | Prec: 0.8050 | Rec: 0.8021 | F1: 0.8035 | LR: 0.000082 | Time: 6.1s
Fold 1 | Epoch 118 | Loss: 0.0154 | AUC: 0.7817 | Acc: 0.7865 | Prec: 0.7820 | Rec: 0.7865 | F1: 0.7840 | LR: 0.000072 | Time: 6.6s
Fold 1 | Epoch 119 | Loss: 0.0224 | AUC: 0.7718 | Acc: 0.7812 | Prec: 0.7845 | Rec: 0.7812 | F1: 0.7828 | LR: 0.000062 | Time: 6.4s
Fold 1 | Epoch 120 | Loss: 0.0285 | AUC: 0.7685 | Acc: 0.7865 | Prec: 0.7820 | Rec: 0.7865 | F1: 0.7840 | LR: 0.000053 | Time: 6.9s
Fold 1 | Epoch 121 | Loss: 0.0182 | AUC: 0.7682 | Acc: 0.7812 | Prec: 0.7878 | Rec: 0.7812 | F1: 0.7842 | LR: 0.000044 | Time: 6.5s
Fold 1 | Epoch 122 | Loss: 0.0174 | AUC: 0.7689 | Acc: 0.7760 | Prec: 0.7777 | Rec: 0.7760 | F1: 0.7768 | LR: 0.000036 | Time: 6.4s
Fold 1 | Epoch 123 | Loss: 0.0350 | AUC: 0.7739 | Acc: 0.7865 | Prec: 0.7880 | Rec: 0.7865 | F1: 0.7872 | LR: 0.000029 | Time: 6.7s
Fold 1 | Epoch 124 | Loss: 0.0062 | AUC: 0.7705 | Acc: 0.7917 | Prec: 0.7917 | Rec: 0.7917 | F1: 0.7917 | LR: 0.000023 | Time: 6.6s
Fold 1 | Epoch 125 | Loss: 0.0213 | AUC: 0.7761 | Acc: 0.7917 | Prec: 0.7917 | Rec: 0.7917 | F1: 0.7917 | LR: 0.000017 | Time: 6.3s
Fold 1 | Epoch 126 | Loss: 0.0142 | AUC: 0.7702 | Acc: 0.7917 | Prec: 0.7888 | Rec: 0.7917 | F1: 0.7901 | LR: 0.000012 | Time: 6.6s
Fold 1 | Epoch 127 | Loss: 0.0318 | AUC: 0.7727 | Acc: 0.7865 | Prec: 0.7849 | Rec: 0.7865 | F1: 0.7857 | LR: 0.000008 | Time: 6.8s
Fold 1 | Epoch 128 | Loss: 0.0255 | AUC: 0.7723 | Acc: 0.7865 | Prec: 0.7849 | Rec: 0.7865 | F1: 0.7857 | LR: 0.000005 | Time: 6.5s
Fold 1 | Epoch 129 | Loss: 0.0429 | AUC: 0.7737 | Acc: 0.7917 | Prec: 0.7917 | Rec: 0.7917 | F1: 0.7917 | LR: 0.000002 | Time: 6.8s
Fold 1 | Epoch 130 | Loss: 0.0354 | AUC: 0.7721 | Acc: 0.7969 | Prec: 0.7984 | Rec: 0.7969 | F1: 0.7976 | LR: 0.000001 | Time: 6.3s
Fold 1 | Epoch 131 | Loss: 0.0189 | AUC: 0.7687 | Acc: 0.7760 | Prec: 0.7777 | Rec: 0.7760 | F1: 0.7768 | LR: 0.000300 | Time: 6.4s
Fold 1 | Epoch 132 | Loss: 0.0356 | AUC: 0.7636 | Acc: 0.7917 | Prec: 0.7917 | Rec: 0.7917 | F1: 0.7917 | LR: 0.000300 | Time: 6.6s
Early stopping at epoch 132
🎨 Loading fold 1 best model weights to generate correct layout heatmaps...
🎨 Completed saving 8 samples with correct layout Grad-CAM heatmaps to:
